,Discharge,Sediment_Load_tonnes_day,Rainfall,Monthly_Sediment_Yield_tons_ha
1990-01-01,5.060612903225806,2439.782208,2.6,0.014662152692307693
1990-02-01,3.5869642857142856,1561.96512,0.4,0.009386809615384616
1990-03-01,2.6202580645161295,1223.8452000000002,51.9,0.0073548389423076935
1990-04-01,1.9722,895.9896,58.9,0.005384552884615384
1990-05-01,2.9258709677419352,1638.1738080000002,144.1,0.00984479451923077
1990-06-01,13.9384,18335.617488000004,260.9,0.11019000894230771
1990-07-01,101.59551612903225,291410.425008,465.5,1.7512645733653847
1990-08-01,176.25470967741936,620161.668576,415.7,3.726933104423077
1990-09-01,133.5377,383690.901672,287.7,2.305834745625
1990-10-01,41.068064516129034,66687.64862400001,77.5,0.40076711913461543
1990-11-01,9.7529,4134.464208,15.2,0.024846539711538464
1990-12-01,5.429161290322581,2617.4638080000004,10.7,0.015729950769230772
1991-01-01,3.688354838709677,1778.2001280000002,0.3,0.010686298846153847
1991-02-01,2.500178571428571,1059.818256,3.4000000000000004,0.006369100096153846
1991-03-01,2.0500645161290323,951.253632,24.2,0.005716668461538461
1991-04-01,4.3956333333333335,1821.345264,68.0,0.010945584519230769
1991-05-01,8.860096774193549,7312.2199200000005,194.7,0.04394362932692308
1991-06-01,55.34036666666667,110323.01088,260.0,0.6629988634615385
1991-07-01,190.63751612903226,666526.309632,384.8,4.005566764615385
1991-08-01,217.2966129032258,820203.9341760001,335.3,4.929110181346155
1991-09-01,162.7613,539264.713536,210.4,3.240773518846154
1991-10-01,42.11983870967742,66880.84334400001,211.2,0.4019281450961539
1991-11-01,11.047433333333334,8815.878648,55.7,0.052980039951923075
1991-12-01,6.321967741935484,3070.979568,15.200000000000001,0.01845540605769231
1992-01-01,4.192612903225807,2021.3089920000002,2.4000000000000004,0.012147289615384617
1992-02-01,2.9391724137931035,1306.2085920000002,7.0,0.007849811250000002
1992-03-01,2.2802258064516128,1112.9050080000002,52.4,0.006688131057692309
1992-04-01,3.7781000000000002,2213.100144,49.7,0.013299880673076922
1992-05-01,6.623258064516129,5876.684784000001,189.0,0.03531661528846154
1992-06-01,30.552233333333334,47258.558352,220.3,0.28400575932692307
1992-07-01,121.41451612903225,339898.217328,418.3,2.0426575560576925
1992-08-01,195.58151612903225,735236.839944,285.6,4.418490624663462
1992-09-01,145.12503333333333,429703.575696,237.6,2.582353219326923
1992-10-01,89.78396774193548,201869.48174400002,199.3,1.213157943173077
1992-11-01,29.423000000000002,34660.17864,64.6,0.20829434278846154
1992-12-01,10.914258064516128,5458.662576000001,21.8,0.03280446259615385
1993-01-01,5.509645161290323,2656.2660480000004,2.2,0.01596313730769231
1993-02-01,3.7694642857142857,1606.4205120000001,0.4,0.009653969423076924
1993-03-01,3.173225806451613,1491.325992,47.8,0.008962295625
1993-04-01,5.018566666666667,2201.224248,47.800000000000004,0.01322851110576923
1993-05-01,8.98116129032258,10125.953856000002,191.3,0.060853088076923086
1993-06-01,74.91823333333333,154584.990432,253.3,0.9289963367307692
1993-07-01,187.9421612903226,702072.015264,443.5,4.219182784038462
