,Discharge,Rainfall,Sediment_Yield,Days_in_Month,Monthly_Sediment_Yield_tons_ha
1990-09-01,133.5377,287.7,0.17165919461538462,30,5.149775838461538
1990-10-01,41.068064516129034,77.5,0.030027462934243177,31,0.9308513509615385
1990-11-01,9.7529,15.2,0.0017469623076923077,30,0.052408869230769234
1990-12-01,5.429161290322581,10.7,0.00113573523573201,31,0.03520779230769231
1991-01-01,3.688354838709677,0.3,0.0007293500620347395,31,0.022609851923076924
1991-02-01,2.500178571428571,3.4000000000000004,0.0004491086538461539,28,0.012575042307692309
1991-03-01,2.0500645161290323,24.2,0.00031933697270471466,31,0.009899446153846154
1991-04-01,4.3956333333333335,68.0,0.0006847044230769232,30,0.020541132692307694
1991-05-01,8.860096774193549,194.7,0.0017159463089330025,31,0.05319433557692308
1991-06-01,55.34036666666667,260.0,0.047307904615384616,30,1.4192371384615385
1991-07-01,190.63751612903226,384.8,0.29108346839330024,31,9.023587520192308
1991-08-01,217.2966129032258,335.3,0.35585318635235735,31,11.031448776923078
1991-09-01,162.7613,210.4,0.2382171507692308,30,7.146514523076924
1991-10-01,42.11983870967742,211.2,0.028964974410669978,31,0.8979142067307693
1991-11-01,11.047433333333334,55.7,0.0033736673076923077,30,0.10121001923076924
1991-12-01,6.321967741935484,15.200000000000001,0.0013361884615384616,31,0.04142184230769231
1992-01-01,4.192612903225807,2.4000000000000004,0.0008707734491315138,31,0.026993976923076927
1992-02-01,2.9391724137931035,7.0,0.0005966248010610081,29,0.017302119230769235
1992-03-01,2.2802258064516128,52.4,0.0003627798387096774,31,0.011246175
1992-04-01,3.7781000000000002,49.7,0.0006442442307692307,30,0.019327326923076923
1992-05-01,6.623258064516129,189.0,0.0019501235732009925,31,0.06045383076923077
1992-06-01,30.552233333333334,220.3,0.019553483076923076,30,0.5866044923076923
1992-07-01,121.41451612903225,418.3,0.14880529596774195,31,4.612964175
1992-08-01,195.58151612903225,285.6,0.31985513653846154,31,9.915509232692308
1992-09-01,145.12503333333333,237.6,0.19295067115384615,30,5.788520134615385
1992-10-01,89.78396774193548,199.3,0.08715728216501241,31,2.7018757471153845
1992-11-01,29.423000000000002,64.6,0.01609847826923077,30,0.48295434807692306
1992-12-01,10.914258064516128,21.8,0.001985314019851117,31,0.06154473461538463
1993-01-01,5.509645161290323,2.2,0.001144310918114144,31,0.03547363846153846
1993-02-01,3.7694642857142857,0.4,0.000775780837912088,28,0.021721863461538465
1993-03-01,3.173225806451613,47.8,0.0004942909429280398,31,0.015323019230769234
1993-04-01,5.018566666666667,47.800000000000004,0.0009051083653846154,30,0.027153250961538464
1993-05-01,8.98116129032258,191.3,0.003661566811414393,31,0.11350857115384617
1993-06-01,74.91823333333333,253.3,0.0666389578846154,30,1.9991687365384618
1993-07-01,187.9421612903226,443.5,0.3017739433622829,31,9.35499224423077
1993-08-01,179.33748387096776,303.4,0.28378183511166255,31,8.797236888461539
1993-09-01,154.83656666666667,248.0,0.2266559030769231,30,6.799677092307693
1993-10-01,89.73812903225807,183.4,0.10252509007444169,31,3.1782777923076924
1993-11-01,22.919666666666668,54.1,0.009894473653846155,30,0.29683420961538465
1993-12-01,8.186064516129033,18.599999999999998,0.001626530583126551,31,0.05042244807692308
1994-01-01,4.80383870967742,1.4,0.0009977203473945412,31,0.030929330769230778
1994-02-01,3.376035714285714,1.0,0.0006499842032967034,28,0.018199557692307695
1994-03-01,2.4399032258064515,28.1,0.0003846394540942928,31,0.011923823076923077
1994-04-01,2.1104666666666665,41.9,0.00034883307692307696,30,0.010464992307692308
1994-05-01,7.174709677419354,175.5,0.002135508219602978,31,0.06620075480769232
1994-06-01,61.53963333333333,272.3,0.06519549288461539,30,1.9558647865384617
1994-07-01,147.62190322580648,321.0,0.2048548874069479,31,6.350501509615385
1994-08-01,177.60664516129032,421.1,0.2739545168114144,31,8.492590021153847
1994-09-01,118.64703333333334,214.2,0.14518194230769232,30,4.35545826923077
1994-10-01,23.37709677419355,96.8,0.010818308746898264,31,0.3353675711538462
1994-11-01,10.4642,26.7,0.002035848461538462,30,0.06107545384615386
1994-12-01,6.365,50.6,0.0013498542803970224,31,0.041845482692307694
1995-01-01,3.565806451612903,1.2000000000000002,0.0007049964640198511,31,0.021854890384615386
1995-02-01,2.517535714285714,1.1,0.0004528118818681319,28,0.012678732692307694
1995-03-01,1.8783548387096773,35.9,0.00030676321339950373,31,0.009509659615384615
1995-04-01,1.9485999999999999,62.1,0.00034025365384615387,30,0.010207609615384616
1995-05-01,11.065032258064516,195.9,0.005537937841191066,31,0.17167607307692306
1995-06-01,45.213766666666665,323.6,0.03325687269230769,30,0.9977061807692307
1995-07-01,92.63948387096774,430.8,0.09173913777915635,31,2.8439132711538466
1995-08-01,198.9793870967742,308.5,0.3281701181761787,31,10.17327366346154
1995-09-01,131.7718,260.7,0.171053955,30,5.13161865
1995-10-01,25.42964516129032,75.9,0.012118181203473946,31,0.3756636173076923
1995-11-01,10.224066666666666,48.7,0.0019757033653846155,30,0.05927110096153847
1995-12-01,5.639516129032258,11.799999999999999,0.001188559429280397,31,0.03684534230769231
1996-01-01,3.576645161290323,5.5,0.0007428416873449134,31,0.023028092307692313
1996-02-01,2.2712413793103448,2.2,0.0003915877320954908,29,0.011356044230769233
1996-03-01,4.081709677419355,45.8,0.0011171718982630275,31,0.03463232884615385
1996-04-01,3.9101,61.00000000000001,0.0006684351923076923,30,0.02005305576923077
1996-05-01,19.74290322580645,215.6,0.011860954280397023,31,0.3676895826923077
1996-06-01,85.187,270.5,0.08178296538461538,30,2.4534889615384614
1996-07-01,202.9754516129032,459.7,0.32864693867866,31,10.188055099038461
1996-08-01,223.52112903225805,346.6,0.3688881900744417,31,11.435533892307692
1996-09-01,141.69536666666667,262.3,0.1948606857692308,30,5.8458205730769235
1996-10-01,85.50945161290323,134.6,0.08631341994416875,31,2.675716018269231
1996-11-01,68.06916666666667,39.4,0.05534345250000001,30,1.6603035750000001
1996-12-01,47.881032258064515,14.399999999999999,0.03170542165012407,31,0.9828680711538462
1997-01-01,2.9428709677419356,2.6,0.0006368918114143922,31,0.019743646153846158
1997-02-01,1.9274285714285715,0.0,0.00035306208791208794,28,0.009885738461538462
1997-03-01,1.7458709677419355,49.0,0.00027195297766749384,31,0.008430542307692308
1997-04-01,1.6658000000000002,42.0,0.0002782038461538462,30,0.008346115384615386
1997-05-01,18.386387096774197,206.6,0.009425485607940447,31,0.2921900538461539
1997-06-01,60.78996666666667,244.8,0.05364675519230769,30,1.6094026557692307
1997-07-01,160.85999999999999,460.3,0.22762716392679905,31,7.05644208173077
1997-08-01,196.73006451612906,312.1,0.30960940198511167,31,9.597891461538461
1997-09-01,125.08203333333334,237.6,0.15608114134615386,30,4.682434240384616
1997-10-01,63.55812903225806,196.4,0.0515705351426799,31,1.598686589423077
1997-11-01,35.669999999999995,55.8,0.020888091346153846,30,0.6266427403846154
1997-12-01,10.542,17.0,0.0027971899503722083,31,0.08671288846153846
1998-01-01,4.4792903225806455,7.9,0.0009123638337468984,31,0.02828327884615385
1998-02-01,2.5311071428571426,0.2,0.0004313713598901099,28,0.012078398076923078
1998-03-01,1.852290322580645,10.2,0.00029562487593052107,31,0.009164371153846154
1998-04-01,1.2846000000000002,34.6,0.00020010115384615386,30,0.006003034615384616
1998-05-01,10.134677419354839,184.3,0.005568728225806452,31,0.172630575
1998-06-01,64.29943333333333,290.9,0.06692747365384616,30,2.007824209615385
1998-07-01,142.69648387096774,391.59999999999997,0.1854213040942928,31,5.748060426923077
1998-08-01,184.56412903225808,389.5,0.2831820364764268,31,8.77864313076923
